id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
32984,Rental unit in Stockholm · ★4.23 · 1 bedroom · 1 bed · 1 bath,53396,Chris,,Kungsholmens,59.32779,18.04998,Entire home/apt,1293,40,24,2016-06-28,0.15,1,364,0,
164448,Rental unit in Stockholm · ★4.86 · 1 bedroom · 2 beds · 1 shared bath,784312,Li,,Södermalms,59.31389,18.06087,Private room,979,2,400,2023-12-11,2.65,2,90,45,
170651,Condo in Stockholm · ★4.71 · 1 bedroom · 2 beds · 1.5 baths,814021,Marie,,Södermalms,59.31702,18.02946,Entire home/apt,1093,3,52,2023-10-29,0.35,1,59,11,
220851,Rental unit in Stockholm · ★4.69 · 1 bedroom · 1 bed · 1 shared bath,412283,Fredric,,Kungsholmens,59.33351,18.03693,Private room,450,3,63,2023-09-01,0.42,1,346,4,
238411,Rental unit in Stockholm · ★4.79 · 1 bedroom · 2 beds · 1 bath,1250232,Mia,,Norrmalms,59.33872,18.05131,Entire home/apt,1194,1,111,2016-12-13,0.75,1,80,0,
242188,Rental unit in Stockholm · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,784312,Li,,Södermalms,59.31198,18.06076,Private room,900,2,390,2023-12-07,2.70,2,178,36,
273906,Rental unit in Stockholm · ★5.0 · 3 bedrooms · 3 beds · 2 baths,1432722,Rodrigo,,Södermalms,59.30543,18.10771,Entire home/apt,2487,6,4,2017-07-31,0.03,1,4,0,
274876,Rental unit in Stockholm · ★4.97 · 3 bedrooms · 3 beds · 1 bath,1437153,Emma,,Södermalms,59.31251981515274,18.092256045255645,Entire home/apt,3644,3,119,2023-07-30,0.84,1,0,5,
299154,Rental unit in Stockholm · ★4.64 · 1 bedroom · 2 beds · 1 bath,1541953,Daniel,,Södermalms,59.31846,18.07042,Entire home/apt,1250,2,624,2023-10-21,4.86,1,0,47,
299863,Rental unit in Stockholm · ★4.46 · 1 bedroom · 1 bed · 1.5 baths,1322033,Anna,,Hägersten-Liljeholmens,59.30318,17.99521,Entire home/apt,650,3,58,2023-09-11,0.40,2,30,22,
301680,Home in Långbro · ★4.61 · 1 bedroom · 1 bed · 1 shared bath,1554143,Anitta,,Älvsjö,59.27635,17.99165,Private room,750,1,33,2022-04-29,0.24,2,363,0,
302496,Rental unit in Norrmalm · ★4.97 · 3 bedrooms · 6 beds · 2 baths,1557657,Seta,,Norrmalms,59.34685,18.06056,Entire home/apt,3000,5,92,2023-09-24,0.66,1,202,11,
313763,Loft in Stockholm · ★4.90 · 1 bedroom · 1 bed · 1 shared bath,1533849,Martin P.,,Norrmalms,59.34283,18.0493,Private room,,3,51,2019-09-26,0.36,1,0,0,
380611,Rental unit in Rågsved · ★4.24 · 1 bedroom · 2 beds · 2 shared baths,1322033,Anna,,Enskede-Årsta-Vantörs,59.25357,18.02841,Private room,370,3,29,2019-08-23,0.20,2,88,0,
385701,Townhouse in Stockholm · ★4.13 · 4 bedrooms · 5 beds · 1.5 baths,1930434,Alex,,Farsta,59.25094,18.09676,Entire home/apt,,10,8,2022-08-05,0.08,1,0,0,
